University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Trenholm State Technical College,1003,1258,1114,18,25,19.5,15390,Public Technical College,March 1,3.35,79,6.0,1.0,5471-11800,20.0,http://trenholmstate.edu/
Troy University,950,1160,1086,21,26,24.5,9792,Public University,2025-12-20,3.18,72,6.0,1.0,2812-5943,23.0,http://troy.edu/
Tuskegee University,995,1255,1121,20,25,22.5,23440,Public University,March 1,3.03,62,6.0,1.0,5185-11124,22.0,http://tuskegee.edu/
University of Alabama,1195,1440,1321,18,22,18.5,11770,Public University,February 1,3.39,84,7.0,1.0,4545-7051,15.0,http://ua.edu/
University of Alabama at Birmingham,1130,1400,1251,21,25,24.0,8832,Public University,March 1,3.11,71,6.0,1.0,3765-8585,20.0,http://uab.edu/
University of Alabama in Huntsville,1195,1440,1321,20,23,21.5,11770,Public University,January 15,2.98,85,6.5,1.0,2409-6726,16.0,http://uah.edu/
University of North Alabama,927,1311,1110,18,23,18.5,11990,Public University,July 1,2.9,77,7.0,1.0,3691-6341,19.0,http://una.edu/
Snead State Community College,919,1052,996,18,24,21.0,5472,Public Community College,March 1,2.65,62,5.5,1.0,1214-2256,13.0,http://snead.edu/
Arkansas Northeastern College,1110,1247,1196,20,32,25.0,2570,Private College,February 1,3.21,78,7.0,1.0,8893-19022,27.0,http://anc.edu/
Arkansas State University,1044,1203,1136,18,22,18.5,2856,Public University,February 1,3.01,84,7.0,1.0,4985-7749,17.0,http://astate.edu/
Arkansas Tech University,940,1150,1050,19,23,20.0,8508,Public,July 1,3.36,77,7.0,1.0,4146-9928,22.0,http://atu.edu/
Central Baptist College,925,1145,1022,21,27,24.0,19680,Private,Rolling,3.39,82,6.0,1.0,7830-18626,31.0,http://cbc.edu/
Harding University,1050,1280,1187,19,28,22.5,24888,Public University,February 1,3.03,82,7.0,1.0,5447-11379,18.0,http://harding.edu/
Hendrix College,1185,1385,1336,20,27,22.5,36650,Private College,July 1,3.38,75,7.0,1.0,5421-10729,40.0,http://hendrix.edu/
Henderson State University,1039,1162,1096,18,29,21.5,7885,Public University,March 1,2.85,75,6.0,1.0,2224-4254,19.0,http://hsu.edu/
John Brown University,1130,1345,1222,22,27,25.5,30832,Private,2025-12-01,3.62,82,6.0,1.0,8468-19432,31.0,http://jbu.edu/
Lyon College,1178,1375,1262,23,29,28.0,31000,Private College,2025-03-20,3.35,83,6.5,1.0,7150-15253,32.0,http://lyon.edu/
Mid-South Community College,834,1050,933,15,20,19.5,10000,Public Community College,July 1,2.58,70,6.5,1.0,982-2107,12.0,http://midsouthcc.edu/
North Arkansas College,1111,1267,1188,21,31,26.0,2570,Private College,2025-10-01,3.62,88,6.5,1.0,6897-11439,37.0,http://northark.edu/
Northwest Arkansas Community College,856,1056,936,17,24,19.5,2982,Public Community College,March 1,2.5,74,5.5,1.0,1330-2313,10.0,http://nwacc.edu/
Northwest Technical Institute,1010,1297,1170,20,24,22.0,5184,Public Technical College,June 1,3.39,78,6.5,0.0,3747-8424,23.0,http://nwti.edu/
Ouachita Baptist University,1060,1290,1212,21,31,26.0,32480,Private University,July 1,3.62,87,7.0,0.0,6351-18145,36.0,http://obu.edu/
University of the Ozarks,1018,1163,1088,17,25,23.0,25950,Public University,July 1,3.47,79,7.0,1.0,3022-9914,21.0,http://ozarks.edu/
Phillips Community College U of A,852,1008,939,17,20,17.5,3230,Public Community College,July 1,2.52,64,6.5,1.0,880-2596,15.0,http://pccua.edu/
Pulaski Technical College,988,1325,1158,18,26,20.0,4848,Public Technical College,Rolling,3.45,80,6.0,1.0,4556-11134,18.0,http://pulaskitech.edu/
Southern Arkansas University Magnolia,935,1348,1128,19,29,23.0,1500,Public,2025-12-07,3.02,83,6.5,1.0,4333-8797,17.0,http://saumag.edu/
Southeast Arkansas College,1112,1296,1216,22,26,25.0,4960,Private College,Rolling,3.47,76,6.0,1.0,8998-20934,25.0,http://seark.edu/
University of Arkansas Community College Batesville,964,1122,1055,16,24,18.0,3558,Public Community College,March 1,2.59,62,5.5,1.0,1526-3321,10.0,http://uaccb.edu/
University of Arkansas at Little Rock,890,1170,1049,17,24,22.5,8455,Public University,Rolling,3.17,70,6.0,1.0,3686-9685,24.0,http://ualr.edu/
University of Arkansas for Medical Sciences,1066,1329,1184,19,28,22.5,16310,Public University,Rolling,2.8,82,6.5,1.0,5612-7795,17.0,http://uams.edu/
University of Arkansas at Pine Bluff,880,1048,916,17,25,23.0,9019,Public University,July 1,2.93,71,7.0,1.0,2624-5895,23.0,http://uapb.edu/
University of Arkansas,1022,1244,1117,21,29,26.0,2856,Public University,January 15,3.0,83,6.5,1.0,4509-10959,17.0,http://uark.edu/
University of Central Arkansas,940,1120,1117,19,23,20.0,10118,Public University,January 15,2.84,77,6.5,1.0,3389-6986,25.0,http://uca.edu/
Williams Baptist College,1129,1295,1195,22,29,26.5,14000,Private College,July 1,3.17,85,7.0,1.0,7785-18478,34.0,http://wbcoll.edu/
University of Arizona,1160,1420,1261,17,22,21.5,13626,Public University,June 1,2.85,76,6.5,1.0,2408-6851,22.0,http://arizona.edu/
Arizona State University,925,1311,1101,18,24,19.0,32000,Public University,Rolling,3.48,70,6.0,1.0,4808-11596,20.0,http://asu.edu/
Arizona Western College,1001,1222,1118,23,32,29.5,3020,Private College,January 15,3.49,77,6.5,1.0,5893-11710,26.0,http://azwestern.edu/
Bryan University,955,1314,1116,19,29,23.0,12185,Public University,March 1,3.49,75,6.0,1.0,5356-11859,23.0,http://bryanuniversity.edu/
Central Arizona College,1103,1281,1211,20,30,24.0,2250,Private College,March 1,3.25,79,6.0,1.0,8511-15572,28.0,http://centralaz.edu/
Glendale Community College,893,1126,1022,15,22,20.5,2358,Public Community College,January 15,2.6,72,6.0,1.0,1104-2112,15.0,http://gccaz.edu/
Glendale Community College,893,1126,1022,15,22,20.5,2358,Public Community College,January 15,2.6,72,6.0,1.0,1104-2112,15.0,http://glendale.edu/
Grand Canyon University,1058,1175,1095,19,27,22.0,17450,Public University,January 15,3.38,81,6.5,0.0,4468-7729,19.0,http://gcu.edu/
Maricopa Community Colleges,829,969,908,15,24,21.5,2000,Public Community College,March 1,2.53,68,5.5,1.0,1158-2581,13.0,http://maricopa.edu/
Mesa Community College,885,1091,978,16,20,16.5,2358,Public Community College,July 1,2.43,64,6.5,1.0,1532-2979,16.0,http://mesacc.edu/
Northern Arizona University,1065,1267,1169,17,25,23.0,12652,Public University,July 1,2.9,71,7.0,1.0,5057-10092,20.0,http://nau.edu/
Northland Pioneer  College,1136,1363,1236,24,29,24.5,2428,Private College,June 1,3.52,78,6.5,1.0,6878-13490,27.0,http://npc.edu/
University of Phoenix,1118,1307,1200,21,29,26.0,17488,Public University,2025-04-05,2.99,75,6.5,1.0,4235-7028,24.0,http://phoenix.edu/
Phoenix College,1035,1318,1190,21,32,26.5,9552,Private College,January 15,3.31,83,6.5,1.0,6610-16018,32.0,http://phoenixcollege.edu/
Pima Community College,807,963,898,18,23,20.5,2370,Public Community College,February 1,2.64,61,6.5,1.0,1650-2739,15.0,http://pima.edu/
Prescott College,1080,1292,1195,21,32,26.5,35685,Private College,February 1,3.24,86,7.0,1.0,7229-18807,35.0,http://prescott.edu/
Rio Salado College,1099,1244,1180,21,32,26.5,2358,Private College,July 1,3.47,79,7.0,1.0,5361-15595,28.0,http://riosalado.edu/
South Mountain Community College,856,1036,940,14,24,20.0,2358,Public Community College,March 1,2.44,68,5.5,0.0,918-1812,11.0,http://southmountaincc.edu/
University of Advancing Technology,939,1310,1144,18,26,20.0,19430,Public University,February 1,3.32,72,7.0,1.0,5641-7877,16.0,http://uat.edu/
Yavapai College,1176,1344,1278,24,30,25.0,2838,Private,Rolling,3.59,86,6.0,1.0,7363-16293,35.0,http://yc.edu/
Academy of Arts University,1120,1346,1220,20,28,24.0,15030,Public University,Rolling,2.85,74,6.0,1.0,4510-11019,17.0,http://academyart.edu/
Adance Computing Institute,1019,1279,1143,20,25,22.5,10000,Public University,January 15,3.03,71,6.5,1.0,4944-8484,23.0,http://advancedcomputinginstitute.edu/
Acupuncture & Integrative Medicine College,1128,1230,1197,22,30,27.0,41760,Private College,March 1,3.55,85,6.0,1.0,5652-17312,34.0,http://aimc.edu/
Alliant International University,1107,1258,1194,19,29,23.0,13918,Public University,July 1,2.85,75,7.0,1.0,2533-6509,21.0,http://alliant.edu/
Allied American University,1105,1303,1218,20,23,21.5,14040,Public University,March 1,3.38,77,6.0,1.0,5337-11156,25.0,http://allied.edu/
Anaheim University,1104,1217,1142,21,29,26.0,10000,Public University,July 1,2.99,75,7.0,1.0,4343-6369,15.0,http://anaheim.edu/
Angeles College,1051,1227,1149,22,29,26.5,25650,Private College,March 1,3.15,75,6.0,1.0,6534-13496,40.0,http://angelescollege.edu/
Antioch University Los Angeles,1120,1215,1172,21,22,21.5,8180,Public University,Rolling,3.4,84,6.0,1.0,2336-8671,19.0,http://antiochla.edu/
Argosy University,1086,1160,1114,17,27,24.0,11190,Public University,July 1,3.17,81,7.0,1.0,2621-6891,23.0,http://argosy.edu/
Art Center College of Design,1001,1369,1178,21,31,26.0,51640,Private College,January 15,3.65,75,6.5,1.0,5407-14548,40.0,http://artcenter.edu/
The Art Institute,1067,1247,1174,19,22,19.5,12370,Public University,June 1,3.42,76,6.5,1.0,4320-10428,15.0,http://artinstitutes.edu/
Ashford University,1079,1337,1212,21,26,24.5,13160,Public University,June 1,3.44,72,6.5,1.0,3376-6196,22.0,http://ashford.edu/
ATI College,1122,1246,1172,21,28,24.5,10000,Private College,June 1,3.25,90,6.5,1.0,5079-9765,39.0,http://ati.edu/
Antelope Valley College,1147,1256,1182,21,30,25.5,1124,Private College,July 1,3.19,79,7.0,1.0,5250-10309,28.0,http://avc.edu/
Bakersfield College,1124,1304,1220,23,26,25.5,3000,Private College,July 1,3.51,80,7.0,1.0,7397-14034,36.0,http://bakersfieldcollege.edu/
Barstow Community College,844,1045,964,14,24,20.0,1104,Public Community College,March 1,2.29,62,5.5,1.0,911-2622,11.0,http://barstow.edu/
Berkeley University of California,1109,1250,1190,19,27,22.0,14850,Public University,January 15,3.5,73,6.5,1.0,5896-11737,24.0,http://berkeley.edu/
Berkeley City College,1124,1315,1222,21,31,26.0,1148,Private College,2025-12-06,3.15,79,6.5,1.0,8532-16665,28.0,http://berkeleycitycollege.edu/
Brandman University,930,1161,1040,17,22,21.5,1500,Public,February 1,3.48,84,7.0,1.0,3947-8073,16.0,http://brandman.edu/
Butte College,1026,1238,1113,24,29,24.5,1336,Private College,July 1,3.38,79,7.0,1.0,5943-11029,28.0,http://butte.edu/
Cabrillo College,1069,1408,1218,22,27,25.5,1270,Private College,January 15,3.48,89,5.5,1.0,7726-13132,38.0,http://cabrillo.edu/
California Institute of the Arts,1081,1156,1116,18,29,21.5,56724,Public University,March 1,2.81,83,6.0,1.0,2022-4103,24.0,http://calarts.edu/
California Baptist University,1010,1328,1189,23,29,28.0,39720,Private University,July 1,3.23,83,7.0,1.0,7696-16772,32.0,http://calbaptist.edu/
California Lutheran University,1134,1320,1224,20,31,24.5,50670,Private University,Rolling,3.62,86,6.0,1.0,5835-11021,35.0,http://callutheran.edu/
California Miramar University,969,1190,1064,17,24,22.5,9994,Public University,February 1,3.27,74,50.0,1.0,5586-10309,21.0,http://calmu.edu/
California Polytechnic State University,1019,1159,1085,20,23,21.5,11075,Public,January 15,3.18,77,6.5,1.0,5659-9622,15.0,http://calpoly.edu/
California State University,980,1222,1095,17,24,22.5,7672,Public,2025-12-07,3.36,78,6.5,1.0,4925-11762,25.0,http://calstate.edu/
California Institute of Technology,1081,1306,1206,20,26,23.0,20515,Public University,Rolling,3.35,72,6.0,1.0,4492-7464,16.0,http://caltech.edu/
Canada College,1101,1228,1164,21,32,26.5,1332,Private College,June 1,3.13,76,6.5,1.0,7756-12754,25.0,http://canadacollege.edu/
College of the Canyons,1171,1263,1217,20,27,22.5,1176,Private,2025-08-01,3.41,89,6.0,1.0,6700-17160,38.0,http://canyons.edu/
California College of the Arts,1088,1369,1234,21,26,23.5,57946,Private College,2025-08-15,3.12,81,6.5,1.0,6128-11960,30.0,http://cca.edu/
California Community Colleges Chanellor’s Office,846,1084,959,15,20,19.5,1000000,Public Community College,2025-07-20,2.49,64,6.5,1.0,1137-2203,13.0,http://cccco.edu/
City College of San Francisco,1048,1227,1154,20,30,24.0,1696,Private College,March 1,3.33,81,6.0,1.0,7119-11681,30.0,http://ccsf.edu/
Cerritos College,1045,1359,1193,24,28,24.5,1364,Private College,March 1,3.69,77,6.0,1.0,5018-13561,26.0,http://cerritos.edu/
Cerro Coso Community College,782,956,849,16,22,17.0,1384,Public Community College,January 15,2.48,78,6.0,1.0,947-1607,12.0,http://cerrocoso.edu/
Claremont Graduate University,987,1216,1102,18,27,20.5,13470,Public University,July 1,3.43,73,7.0,1.0,4525-7745,15.0,http://cgu.edu/
Chaffey College,1090,1275,1182,22,32,28.0,1184,Private College,Rolling,3.63,90,6.0,1.0,6826-12762,39.0,http://chaffey.edu/
Chapman University,1250,1430,1353,23,32,29.5,62784,Private,February 1,3.58,78,7.0,1.0,6702-10825,27.0,http://chapman.edu/
California Institute of Integral Studies,959,1249,1106,18,26,20.0,10000,Public University,2025-12-06,3.17,72,6.5,1.0,3632-9434,22.0,http://ciis.edu/
Citrus College,1065,1392,1230,22,30,27.0,1204,Private College,March 1,3.7,61,6.0,1.0,6921-18266,40.0,http://citruscollege.edu/
The Claremont Colleges,1134,1241,1180,20,30,24.0,27300,Private College,July 1,3.39,81,7.0,1.0,8543-17235,30.0,http://claremont.edu/
Claremont McKenna College,1450,1560,1514,20,27,23.5,64150,Public,2025-12-01,3.07,81,7.5,1.0,5339-9822,19.0,http://cmc.edu/
Copper Mountain College,1155,1373,1269,22,26,25.0,1114,Private College,July 1,3.21,77,7.0,1.0,6529-16148,26.0,http://cmccd.edu/
Cogswell Polytechnical College,959,1210,1074,18,22,18.5,12500,Public Technical College,June 1,3.38,84,6.5,1.0,5076-7272,16.0,http://cogswell.edu/
College of San Mateo,1050,1210,1112,20,29,24.5,1332,Public,July 1,3.29,79,7.0,1.0,5602-9710,19.0,http://collegeofsanmateo.edu/
College of the Desert,1096,1327,1228,20,26,22.0,1326,Private College,2025-01-14,3.11,82,6.5,1.0,7374-11673,31.0,http://collegeofthedesert.edu/
El Camino College Compton Center,1130,1274,1219,22,31,27.5,41640,Private College,July 1,3.26,83,7.0,1.0,6495-17071,32.0,http://compton.edu/
Contra Costa College,1153,1357,1250,21,26,23.5,1312,Private College,January 15,3.54,83,6.5,1.0,6322-14191,32.0,http://contracosta.edu/
College of the Sequoias,1160,1232,1194,20,28,23.0,1394,Private College,2025-12-07,3.32,76,7.0,1.0,5932-16337,25.0,http://cos.edu/
Crafton Hills College,1004,1293,1162,22,28,26.0,1188,Private College,2025-08-01,3.11,75,6.0,1.0,6061-17670,40.0,http://craftonhills.edu/
California State University Bakersfield,1074,1217,1138,19,25,21.0,7696,Public University,July 1,3.27,79,7.0,1.0,2429-6885,25.0,http://csub.edu/
California State University Channel Islands,969,1293,1131,19,22,19.5,6817,Public University,February 1,2.85,84,7.0,1.0,3112-7547,25.0,http://csuci.edu/
California State University Dominguez Hills,1075,1178,1130,20,24,22.0,7064,Public University,Rolling,2.85,70,6.0,1.0,2012-5806,25.0,http://csudh.edu/
California State University East Bay,1005,1289,1137,19,26,21.5,7055,Public,February 1,3.15,72,7.0,1.0,4482-6829,24.0,http://csueastbay.edu/
Fresno State,989,1158,1090,17,26,23.5,6980,Public University,2025-07-12,3.44,80,6.5,1.0,2764-9697,21.0,http://fresnostate.edu/
California State University Long Beach,931,1156,1026,20,27,23.5,7008,Public University,March 1,3.19,81,6.0,1.0,2397-8828,23.0,http://csulb.edu/
California State University Monterey Bay,964,1234,1090,18,25,19.5,7437,Public University,March 1,3.05,71,6.0,1.0,2152-6411,17.0,http://csumb.edu/
California State University Northridge,1022,1172,1111,21,27,25.0,7095,Public University,January 15,3.12,81,6.5,1.0,3816-9792,19.0,http://csun.edu/
California State Polytechnic University Pomona,1088,1259,1156,20,23,21.5,7439,Public,January 15,3.3,77,6.5,0.0,5135-7343,25.0,http://csupomona.edu/
California State University Sacramento,1035,1311,1192,20,28,24.0,7602,Public University,February 1,3.27,64,7.0,1.0,4229-7602,16.0,http://csus.edu/
California State University San Bernardino,999,1154,1074,17,22,21.5,7675,Public University,February 1,3.15,84,7.0,1.0,5595-11305,20.0,http://csusb.edu/
California State University San Marcos,957,1325,1157,17,22,21.5,7739,Public,2025-12-07,2.86,84,7.0,0.0,2908-7037,20.0,http://csusm.edu/
California State University Stanislaus,1112,1251,1192,19,24,20.5,7826,Public University,2025-07-18,3.28,80,6.5,1.0,2158-4291,25.0,http://csustan.edu/
Cuesta College,1076,1277,1192,22,28,26.0,1340,Private College,February 1,3.67,86,7.0,1.0,6147-14053,35.0,http://cuesta.edu/
Cuyamaca College,1150,1239,1210,22,29,26.5,1340,Private College,March 1,3.21,81,6.0,1.0,8089-14211,30.0,http://cuyamaca.edu/
California Western School of Law San Diego,929,1204,1080,17,22,21.5,7900,Public University,June 1,3.29,84,6.5,1.0,4607-10463,18.0,http://cwsl.edu/
Cypress College,1163,1372,1268,22,27,25.5,1150,Private College,January 15,3.34,89,6.5,1.0,6863-12605,38.0,http://cypresscollege.edu/
DeAnza College,1114,1403,1254,24,26,24.5,10000,Private College,July 1,3.43,81,7.0,1.0,7353-15901,30.0,http://deanza.edu/
San Joaquin Delta College,1058,1253,1144,24,28,24.5,1288,Private College,2025-12-08,3.49,88,7.0,1.0,7174-13694,37.0,http://deltacollege.edu/
Dominican University of California,1070,1291,1194,20,28,23.0,50666,Private,2025-12-16,3.22,90,6.0,1.0,5735-16294,39.0,http://dominican.edu/
Dominican School of Philosophy and Theology,1102,1278,1207,17,29,25.0,8410,Public University,March 1,3.4,75,6.0,1.0,3887-8287,24.0,http://dspt.edu/
Diablo Valley College,1063,1285,1161,24,31,25.5,1312,Private College,2025-01-26,3.48,79,6.5,1.0,6772-17845,28.0,http://dvc.edu/
East Los Angeles College,1040,1225,1142,22,30,27.0,1238,Private College,January 15,3.55,79,6.5,1.0,7896-17211,28.0,http://elac.edu/
El Camino College,1015,1338,1182,24,30,25.0,1144,Private College,2025-07-01,3.46,88,6.0,1.0,7083-14249,37.0,http://elcamino.edu/
Ex’pression College,1110,1292,1196,22,32,28.0,24000,Private College,February 1,3.5,76,7.0,0.0,8611-17900,25.0,http://expression.edu/
Foothill-De Anza Community College District,845,992,938,16,19,16.5,10080,Public Community College,2025-11-01,2.33,75,6.0,1.0,948-2570,13.0,http://fhda.edu/
Fashion Institute of Design & Merchandising,1033,1231,1135,18,25,19.5,34325,Public University,March 1,2.87,79,6.0,1.0,2502-8120,17.0,http://fidm.edu/
Fielding Graduate University,927,1343,1141,21,22,21.5,15340,Public University,February 1,3.3,84,7.0,1.0,5746-8567,21.0,http://fielding.edu/
Foothill College,1160,1300,1228,24,32,26.0,1565,Private College,2025-12-08,3.25,81,6.5,0.0,7753-17308,30.0,http://foothill.edu/
Fresno Pacific University,1062,1346,1184,20,26,23.0,35558,Public University,February 1,3.02,72,7.0,1.0,5150-7593,19.0,http://fresno.edu/
Fresno City College,1178,1339,1250,23,29,28.0,1334,Private College,June 1,3.42,90,6.5,1.0,6971-13646,39.0,http://fresnocitycollege.edu/
Frederick Taylor University,964,1303,1126,18,26,20.0,84000,Public University,Rolling,3.39,61,6.0,1.0,4226-8581,22.0,http://ftu.edu/
Fullerton  College,1080,1247,1148,24,28,24.5,36250,Private College,July 1,3.62,75,7.0,1.0,6341-13848,40.0,http://fullcoll.edu/
Fuller Theological Seminary,925,1290,1104,18,29,21.5,10150,Public University,March 1,2.83,83,6.0,0.0,5461-7479,16.0,http://fuller.edu/
California State University Fullerton,1046,1323,1186,19,23,20.0,7073,Public University,January 15,3.21,77,6.5,1.0,5153-11756,17.0,http://fullerton.edu/
Gavilan College,1095,1259,1160,20,32,25.0,1506,Private College,July 1,3.54,75,7.0,1.0,5126-12000,40.0,http://gavilan.edu/
Golden Gate Baptist Theological Seminary,980,1185,1094,18,26,20.0,10900,Public University,June 1,3.28,80,6.5,0.0,2975-8507,23.0,http://ggbts.edu/
Glendale Community College,893,1126,1022,15,22,20.5,1181,Public Community College,January 15,2.6,72,6.0,1.0,1104-2112,15.0,http://gccaz.edu/
Glendale Community College,893,1126,1022,15,22,20.5,1181,Public Community College,January 15,2.6,72,6.0,0.0,1104-2112,15.0,http://glendale.edu/
Gnomon School of Visual Effects,1027,1175,1083,17,23,22.0,13920,Public University,March 1,3.18,77,6.0,1.0,5547-10781,18.0,http://gnomon.edu/
Columbia College,1119,1289,1210,20,27,22.5,1547,Private College,July 1,3.43,89,7.0,1.0,8001-15703,38.0,http://gocolumbia.edu/
Columbia College,1119,1289,1210,20,27,22.5,1547,Private College,July 1,3.43,89,7.0,1.0,8001-15703,38.0,http://ccis.edu/
Golden West College,1015,1245,1137,21,27,24.0,1196,Private College,Rolling,3.15,78,6.0,1.0,8547-15206,27.0,http://goldenwestcollege.edu/
Grossmont College,1049,1309,1183,23,29,28.0,1332,Private College,June 1,3.64,90,6.5,1.0,5444-13652,39.0,http://grossmont.edu/
Allan Hancock College,1131,1308,1218,20,31,24.5,1156,Private College,March 1,3.43,83,6.0,1.0,5167-14532,32.0,http://hancockcollege.edu/
Hartnell College,1085,1392,1238,22,27,25.5,1404,Private College,Rolling,3.36,88,6.0,1.0,7495-16023,37.0,http://hartnell.edu/
Henley-Putnam University,1078,1254,1185,22,30,27.0,23850,Private,Rolling,3.7,84,6.0,1.0,8066-17059,33.0,http://henley-putnam.edu/
Harvey Mudd College,1480,1560,1537,20,32,25.0,66255,Private College,2025-12-01,3.34,87,7.0,1.0,8038-18650,36.0,http://hmc.edu/
Holy Names University,1066,1396,1247,21,29,25.0,13586,Private,2025-06-01,3.38,76,6.5,1.0,7504-18127,25.0,http://hnu.edu/
Humboldt State University,1104,1247,1174,21,24,23.5,7913,Public University,February 1,3.24,70,7.0,1.0,4564-7073,23.0,http://humboldt.edu/
Humphreys College,1007,1329,1184,22,29,26.5,14760,Private College,March 1,3.61,75,6.0,1.0,6468-12506,40.0,http://humphreys.edu/
Imperial Valley College,1081,1276,1170,21,28,24.5,1126,Private College,January 15,3.59,81,6.5,1.0,5008-10975,30.0,http://imperial.edu/
International Sports Sciences Association,1064,1163,1094,17,28,24.5,9670,Public University,June 1,3.5,82,6.5,0.0,5129-7190,23.0,http://issaonline.edu/
International Technological University,983,1322,1138,20,22,21.0,10000,Public University,June 1,2.99,76,6.5,1.0,5643-8082,22.0,http://itu.edu/
Irvine Valley College,1015,1388,1190,24,27,24.5,1156,Private College,July 1,3.2,81,7.0,1.0,8782-17198,30.0,http://ivc.edu/
William Jessup University,1044,1195,1138,17,23,22.0,37150,Public University,July 1,3.27,85,7.0,1.0,2151-5446,20.0,http://jessup.edu/
John F. Kennedy University,994,1166,1097,18,29,21.5,2000,Public University,March 1,3.08,75,6.0,1.0,2122-6522,24.0,http://jfku.edu/
Keck Graduate Institute,986,1270,1131,19,25,21.0,14690,Public University,January 15,3.3,71,6.5,1.0,2780-6326,20.0,http://kgi.edu/
Mount Saint Mary’s College,1118,1315,1210,24,26,24.5,65000,Private,January 15,3.4,89,6.5,0.0,8654-16334,38.0,http://la.edu/
Los Angeles Community College District,885,1095,1003,15,20,19.5,10000,Public Community College,July 1,2.34,76,6.5,1.0,1795-2438,13.0,http://laccd.edu/
Los Angeles City College,1038,1349,1176,22,30,27.0,1238,Private College,February 1,3.59,86,7.0,1.0,7292-13569,33.0,http://lacitycollege.edu/
Los Angeles Harbor College,1029,1351,1178,23,30,28.5,1238,Private College,June 1,3.48,80,6.5,0.0,5399-12950,29.0,http://lahc.edu/
