University,Institution_Type,City,State,Location,US_News_Ranking_2025,Data_Quality,Acceptance_Rate_Pct,Bach_SAT_25th,Bach_SAT_75th,Bach_SAT_Midpoint,Bach_ACT_25th,Bach_ACT_75th,Bach_ACT_Midpoint,Bach_SAT_ACT_Policy,Bach_Avg_GPA_Admitted,Bach_TOEFL_Min,Bach_IELTS_Min,Bach_Tuition_InState_USD,Bach_Tuition_OutOfState_USD,Bach_Annual_Tuition_USD,Bach_Application_Deadline,Scholarship_Financial_Aid,Masters_Programs_Offered,Masters_Min_GPA_Recommended,Masters_GRE_Policy,Masters_Avg_GRE_Verbal,Masters_Avg_GRE_Quant,Masters_TOEFL_Min,Masters_IELTS_Min,Masters_Annual_Tuition_USD,Masters_Application_Deadline,Masters_LOR_Count,Masters_SOP_Required,TOEFL_IELTS_Source,Data_Source,Official_URL
Northwestern University,Private University (Nonprofit),Evanston,IL,"Evanston, IL",9,Verified,7.7,1510.0,1570.0,1540.0,33.0,35.0,34.0,Test-Optional (extended to 2025-26 cycle),4.1,100.0,7.0,68300,68300,63500,January 2,Need-based + limited merit,Yes,3.0,Required for some programs; optional for others,157.0,162.0,105.0,7.5,55200.0,December 1 / January 5,3.0,Yes,Verified (official admissions page),Northwestern CDS 2024-25; Compass,https://www.northwestern.edu/
Columbia University,Private University (Nonprofit),New York,NY,"New York, NY",12,Verified,3.9,1510.0,1560.0,1540.0,34.0,36.0,35.0,Test-Optional (permanent),3.91,100.0,7.0,70200,70200,70200,January 1,Need-based; meets 100% demonstrated need; no merit aid,Yes,3.3,Optional for most programs,158.0,162.0,100.0,7.0,64000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),Columbia CDS 2024-25 (GradGPT); Compass; CEA 2025-26,https://undergrad.admissions.columbia.edu
Cornell University,Private University (Nonprofit),Ithaca,NY,"Ithaca, NY",12,Verified,8.8,1500.0,1570.0,1540.0,33.0,35.0,34.0,Required (reinstated Fall 2026),3.9,100.0,7.0,69300,69300,71300,January 2,Need-based; meets 100% demonstrated need; no merit aid,Yes,3.5,Required for some programs; optional for others,156.0,164.0,105.0,7.5,59100.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),Cornell CDS 2024-25; Compass; CEA 2025-26,https://www.cornell.edu/
University of Chicago,Private University (Nonprofit),Chicago,IL,"Chicago, IL",12,Verified,4.5,1510.0,1580.0,1540.0,34.0,35.0,34.0,Test-Optional (permanent; 'No Harm' policy),4.0,104.0,7.0,70700,70700,71300,January 2,Need-based + merit scholarships,Yes,3.3,Required for some programs; optional for others,161.0,164.0,109.0,7.5,61700.0,December 1 / January 2,3.0,Yes,Verified (official admissions page),UChicago CDS 2024-25; Compass; Visual Capitalist,https://www.uchicago.edu/
Dartmouth College,Private University (Nonprofit),Hanover,NH,"Hanover, NH",15,Verified,5.4,1500.0,1570.0,1540.0,33.0,35.0,34.0,Required,3.94,100.0,7.0,68300,68300,69200,January 2,Need-based; meets 100% demonstrated need; no merit aid,Yes,3.5,Required for some programs; optional for others,161.0,163.0,105.0,7.5,57400.0,October 6 / January 12 (round-based),3.0,Yes,Verified (official admissions page),Compass 2024-25; Dartmouth admissions; CEA 2025-26,https://dartmouth.edu/
"University of California, Los Angeles (UCLA)",Public University,Los Angeles,CA,"Los Angeles, CA",15,Verified,9.0,1280.0,1420.0,1340.0,28.0,32.0,30.0,Test-Free (UC system does not consider scores),4.27,87.0,7.0,44100,44100,44100,November 30,Need-based + CA grants; limited merit,Yes,3.0,Waived for many programs; check dept. page,155.0,160.0,87.0,7.0,17000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),UCLA CDS 2024-25; Compass (test-free confirmation); UCLA Admissions,https://admission.ucla.edu
"University of Michigan, Ann Arbor",Public University,Ann Arbor,MI,"Ann Arbor, MI",15,Verified,17.7,1380.0,1540.0,1460.0,32.0,35.0,34.0,Test-Optional,3.9,100.0,6.5,55300,55300,55300,February 1 (RD),Need-based + merit scholarships; Regents Merit,Yes,3.0,Optional (varies by department),153.0,163.0,84.0,6.5,25000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),U-M CDS 2024-25; U-M admissions,https://admissions.umich.edu
Vanderbilt University,Private University (Nonprofit),Nashville,TN,"Nashville, TN",16,Verified,5.9,1510.0,1560.0,1540.0,34.0,35.0,34.0,Test-Optional (extended to 2026-27 cycle),3.83,100.0,7.0,60300,60300,60300,January 1,Need-based + merit scholarships,Yes,3.0,Required for some programs; optional for others,155.0,160.0,100.0,7.0,56000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),Vanderbilt CDS 2024-25; Compass,https://admissions.vanderbilt.edu
Rice University,Private University (Nonprofit),Houston,TX,"Houston, TX",17,Verified,8.0,1510.0,1570.0,1540.0,34.0,35.0,34.0,Test-Optional (recommended but not required),3.96,90.0,7.0,56400,56400,56400,January 2,Need-based + merit; meets 100% demonstrated need,Yes,3.0,Required,154.0,163.0,90.0,7.0,53000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),Rice CDS 2024-25; Compass,https://admission.rice.edu
"University of California, Berkeley (UC Berkeley)",Public University,Berkeley,CA,"Berkeley, CA",17,Verified,11.4,1260.0,1400.0,1330.0,28.0,31.0,30.0,Test-Free (UC system),4.15,80.0,6.5,44100,44100,44100,November 30,Need-based; CA grants; limited merit,Yes,3.0,Optional (waived for most programs),155.0,162.0,90.0,7.0,14312.0,December 1,3.0,Yes,Verified (official admissions page),UC Berkeley admissions; Compass (test-free); CDS 2024-25,https://admissions.berkeley.edu
Emory University,Private University (Nonprofit),Atlanta,GA,"Atlanta, GA",22,Verified,10.7,1470.0,1550.0,1510.0,32.0,35.0,34.0,Test-Optional (extended to 2025-26 cycle),3.8,90.0,7.0,64300,64300,58600,January 1,Need-based + merit scholarships,Yes,3.0,Required for some programs; optional for others,155.0,158.0,95.0,7.5,50200.0,January 5,3.0,Yes,Verified (official admissions page),Emory CDS 2024-25; Compass,https://www.emory.edu/
Georgetown University,Private University (Nonprofit),Washington,DC,"Washington, DC",22,Verified,12.9,1390.0,1550.0,1470.0,31.0,35.0,33.0,Required,3.89,100.0,7.5,68000,68000,62200,January 10,Need-based + merit; no merit aid for undergrad,Yes,3.0,Required for some programs; optional for others,156.0,155.0,105.0,8.0,51000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),Georgetown CDS 2024-25; Compass; Georgetown admissions,https://www.georgetown.edu/
Carnegie Mellon University,Private University (Nonprofit),Pittsburgh,PA,"Pittsburgh, PA",25,Verified,11.7,1510.0,1560.0,1540.0,34.0,35.0,34.0,Required (SCS requires SAT/ACT; CFA test-optional),3.86,102.0,7.5,62400,62400,62400,January 3,Merit and need-based; PhD fully funded with stipend,Yes,3.0,Required for STEM programs; optional for others,155.0,166.0,102.0,7.5,55000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),CMU CDS 2024-25; Compass; CMU admissions official,https://admission.enrollment.cmu.edu
University of Virginia (UVA),Public University,Charlottesville,VA,"Charlottesville, VA",25,Verified,18.4,1360.0,1540.0,1450.0,31.0,35.0,33.0,Test-Optional,4.18,90.0,7.0,56700,56700,56700,January 1,Need-based + merit; AccessUVa program,Yes,3.0,Required,153.0,157.0,90.0,7.0,18000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),UVA CDS 2024-25; UVA admissions,https://www.virginia.edu/admissions
Tufts University,Private University (Nonprofit),Medford,MA,"Medford, MA",28,Verified,11.5,1470.0,1560.0,1520.0,33.0,35.0,34.0,Test-Optional (extended to 2025-26),3.85,100.0,7.0,70700,70700,67900,January 1,Need-based + merit,Yes,3.0,Required for some programs; optional for others,153.0,158.0,105.0,7.5,58000.0,January 15,3.0,Yes,Verified (official admissions page),Tufts CDS 2024-25; Tufts admissions,https://www.tufts.edu/
University of Southern California (USC),Private University (Nonprofit),Los Angeles,CA,"Los Angeles, CA",28,Verified,10.0,1450.0,1530.0,1490.0,32.0,35.0,34.0,Test-Optional (extended to 2024-25 cycle),3.8,100.0,6.5,71600,71600,71600,January 15,Need-based + merit scholarships,Yes,3.0,Optional for most programs,152.0,158.0,90.0,6.5,60000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),USC CDS 2024-25; Compass; collegeTuitionCompare,https://admission.usc.edu
University of North Carolina at Chapel Hill (UNC),Public University,Chapel Hill,NC,"Chapel Hill, NC",29,Verified,17.6,1300.0,1510.0,1400.0,29.0,34.0,32.0,Test-Optional,4.43,90.0,7.0,37900,37900,37900,January 15,Need-based (Carolina Covenant); limited merit,Yes,3.0,Optional for most programs,152.0,157.0,79.0,6.5,11000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),UNC CDS 2024-25; UNC admissions,https://admissions.unc.edu
Georgia Institute of Technology (Georgia Tech),Public University,Atlanta,GA,"Atlanta, GA",33,Verified,14.1,1370.0,1530.0,1450.0,30.0,34.0,32.0,Required (University System of Georgia mandate),4.1,100.0,7.0,32900,32900,32900,January 1,Need-based + merit; Stamps President's Scholarship,Yes,3.0,Required for STEM programs; optional for others,151.0,163.0,100.0,7.0,13000.0,January 1 / February 1,3.0,Yes,Verified (official admissions page),Georgia Tech CDS 2024-25; Compass,https://admission.gatech.edu
University of Florida,Public University,Gainesville,FL,"Gainesville, FL",33,Verified,24.2,1320.0,1480.0,1400.0,29.0,33.0,31.0,Required,4.26,80.0,6.0,6400,28700,28700,November 1,Florida Bright Futures; need-based + merit,Yes,3.0,Optional for most programs,149.0,153.0,85.0,6.5,19500.0,February 1,3.0,Yes,Verified (official admissions page),UF CDS 2024-25; Compass; UF admissions,https://www.ufl.edu/
University of Texas at Austin (UT Austin),Public University,Austin,TX,"Austin, TX",33,Verified,26.6,1210.0,1340.0,1280.0,26.0,30.0,28.0,Required (reinstated March 2024),3.74,78.0,6.5,39300,39300,39300,December 1,Need-based + merit; Texas Advance Commitment,Yes,3.0,Optional (varies by department),150.0,160.0,78.0,6.5,12000.0,December 1,3.0,Yes,Verified (official admissions page),UT Austin CDS 2024-25; Compass; UT News reinstated test policy,https://admissions.utexas.edu
New York University (NYU),Private University (Nonprofit),New York,NY,"New York, NY",35,Verified,9.2,1480.0,1550.0,1520.0,34.0,35.0,34.0,Test-Optional (extended to 2026-27 cycle),3.69,92.0,7.0,60400,60400,60400,January 1,Need-based + merit scholarships,Yes,3.0,Optional (waived for most programs),154.0,158.0,92.0,7.0,57000.0,December 15 / January 15,2.0,Yes,Verified (official admissions page),NYU CDS 2024-25; Compass,https://www.nyu.edu/admissions/undergraduate-admissions
University of Illinois Urbana-Champaign (UIUC),Public University,Champaign,IL,"Champaign, IL",36,Verified,44.7,1290.0,1500.0,1400.0,27.0,34.0,30.0,Test-Optional,3.83,103.0,6.5,34300,34300,34300,November 1 (EA); January 5 (RD),Need-based + merit; National Merit,Yes,3.0,Optional (varies by department),150.0,163.0,103.0,6.5,16000.0,December 15,3.0,Yes,Verified (official admissions page),UIUC CDS 2024-25; UIUC admissions,https://admissions.illinois.edu
Wake Forest University,Private University (Nonprofit),Winston-Salem,NC,"Winston-Salem, NC",36,Verified,18.0,1390.0,1530.0,1460.0,31.0,34.0,32.0,Test-Optional,3.82,88.0,6.5,64800,64800,64800,November 15 (ED); January 1 (RD),Merit and need-based,Yes,3.0,Required,151.0,153.0,88.0,6.5,44000.0,January 15,3.0,Yes,Verified (official admissions page),Wake Forest CDS 2024-25,https://admissions.wfu.edu
University of Wisconsin-Madison,Public University,Madison,WI,"Madison, WI",37,Verified,49.3,1300.0,1490.0,1400.0,27.0,33.0,30.0,Test-Optional,3.85,92.0,6.5,38100,38100,38100,February 1,Need-based + merit; Bucky's Tuition Promise,Yes,3.0,Optional for most programs,150.0,158.0,92.0,6.5,11000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),UW-Madison CDS 2024-25; admissions,https://admissions.wisc.edu
Boston University,Private University (Nonprofit),Boston,MA,"Boston, MA",41,Verified,11.1,1420.0,1530.0,1480.0,32.0,34.0,33.0,Test-Optional,3.71,84.0,6.5,68100,68100,60000,January 2,Merit and need-based scholarships,Yes,3.0,Required for some programs; optional for others,151.0,157.0,89.0,7.0,50400.0,December 15 / January 15,2.0,Yes,Verified (official admissions page),BU CDS 2024-25; BU admissions,https://www.bu.edu/
Tulane University,Private University (Nonprofit),New Orleans,LA,"New Orleans, LA",44,Verified,11.8,1380.0,1530.0,1460.0,31.0,34.0,32.0,Test-Optional,3.73,88.0,6.5,62100,62100,62100,January 15,Merit and need-based; Dean's Honor Award,Yes,3.0,Optional for most programs,151.0,155.0,88.0,6.5,49000.0,January 15,3.0,Yes,Verified (official admissions page),Tulane CDS 2024-25; Tulane admissions,https://admission.tulane.edu
"Ohio State University, Columbus",Public University,Columbus,OH,"Columbus, OH",49,Verified,50.8,1130.0,1270.0,1210.0,24.0,28.0,26.0,Required (reinstated 2025),3.8,79.0,6.5,35000,35000,35000,February 1,Merit and need-based; Eminence Fellowship,Yes,3.0,Optional for most programs,149.0,156.0,79.0,6.5,12000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),OSU CDS 2024-25; Compass,https://undergrad.osu.edu/apply
"Purdue University, West Lafayette",Public University,West Lafayette,IN,"West Lafayette, IN",49,Verified,49.9,1210.0,1470.0,1340.0,27.0,34.0,30.0,Required,3.55,80.0,6.5,28800,28800,28800,February 1,Merit and need-based; Purdue Promise,Yes,3.0,Required for STEM programs; optional for others,149.0,160.0,77.0,6.5,10000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),Purdue CDS 2024-25; Compass,https://www.admissions.purdue.edu
University of Georgia (UGA),Public University,Athens,GA,"Athens, GA",51,Verified,37.2,1230.0,1410.0,1320.0,27.0,32.0,30.0,Required (University System of Georgia mandate),4.0,80.0,6.5,30200,30200,30200,January 1,HOPE Scholarship (GA residents); merit + need-based,Yes,3.0,Required,149.0,152.0,80.0,6.5,9000.0,February 1,3.0,Yes,Verified (official admissions page),UGA CDS 2024-25; Compass,https://www.admissions.uga.edu
Florida State University,Public University,Tallahassee,FL,"Tallahassee, FL",55,Verified,24.2,1270.0,1410.0,1340.0,29.0,32.0,30.0,Required,3.8,80.0,6.5,5700,18800,21700,March 1,Florida Bright Futures; need-based + merit,Yes,3.0,Optional for most programs,149.0,151.0,85.0,7.0,14800.0,February 1,3.0,Yes,Verified (official admissions page),FSU CDS 2024-25; Compass,https://www.fsu.edu/
University of Miami,Private University (Nonprofit),Coral Gables,FL,"Coral Gables, FL",55,Verified,18.9,1320.0,1480.0,1400.0,30.0,33.0,32.0,Required (reinstated January 2025 for Fall 2026),3.7,80.0,6.5,62600,62600,58000,November 1 (ED); February 1 (RD),Merit and need-based; Ibis Scholarship,Yes,3.0,Optional for most programs,150.0,155.0,85.0,7.0,47600.0,Rolling / January 15,3.0,Yes,Verified (official admissions page),U of Miami CDS 2024-25; Compass; Miami News Jan 2025,https://www.miami.edu/
Northeastern University,Private University (Nonprofit),Boston,MA,"Boston, MA",58,Verified,5.2,1440.0,1540.0,1490.0,33.0,35.0,34.0,Test-Optional (extended to 2025-26 cycle),3.85,100.0,7.0,66200,66200,59100,November 1 (ED); January 1 (RD),Merit and need-based scholarships,Yes,3.0,Required for some programs; optional for others,150.0,159.0,105.0,7.5,51000.0,Rolling admissions,2.0,Yes,Verified (official admissions page),Northeastern CDS 2024-25; Compass; Northeastern admissions,https://www.northeastern.edu/
Penn State University (University Park),Public University,State College,PA,"State College, PA",75,Verified,56.7,1180.0,1440.0,1310.0,25.0,32.0,28.0,Test-Optional,3.4,80.0,6.5,40900,40900,40900,Rolling admissions,Merit and need-based,Yes,3.0,Required,148.0,155.0,80.0,6.5,21000.0,Rolling / December 15,3.0,Yes,Verified (official admissions page),Penn State CDS 2024-25; Penn State admissions,https://admissions.psu.edu
Auburn University,Public University,Auburn,AL,"Auburn, AL",103,Verified,45.9,1260.0,1390.0,1320.0,26.0,31.0,28.0,Required (limited test-optional pilot for 3.6+ GPA),3.64,84.0,6.5,12900,34900,32800,February 1,Merit-based Presidential Scholarship; need-based,Yes,2.8,Optional for most programs,147.0,151.0,89.0,7.0,22200.0,March 1,3.0,Yes,Verified (official admissions page),Auburn CDS 2024-25; Compass,https://www.auburn.edu/
University of Alabama,Public University,Tuscaloosa,AL,"Tuscaloosa, AL",149,Verified,76.7,1110.0,1360.0,1240.0,22.0,30.0,26.0,Required (test-optional for 3.0+ GPA until fall 2028),3.63,77.0,6.0,31500,31500,31500,March 1,Presidential scholarship; need-based,Yes,2.75,Required,146.0,148.0,79.0,6.0,9000.0,Rolling,3.0,Yes,Verified (official admissions page),Alabama CDS 2024-25; Compass,https://gobama.ua.edu
A T Still University of Health Sciences,Private University (Nonprofit),Kirksville,MO,"Kirksville, MO",Unranked,Estimated (type-based),67.6,1090.0,1250.0,1170.0,23.0,27.0,25.0,Test-Optional,3.25,80.0,6.5,36500,36500,36500,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,31400.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.atsu.edu/
Aaniiih Nakoda College,Public University,Harlem,MT,"Harlem, MT",Unranked,Estimated (type-based),73.3,1050.0,1220.0,1140.0,22.0,27.0,24.0,Test-Optional,3.17,79.0,6.5,3100,3100,3100,February 1,Institutional merit awards; need-based grants,Yes,2.75,Not required,152.0,154.0,84.0,7.0,5000.0,Rolling / January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.ancollege.edu/
Abraham Baldwin Agricultural College,Public University,Tifton,GA,"Tifton, GA",Unranked,Estimated (SAT-based),75.7,860.0,1080.0,970.0,17.0,22.0,20.0,Test-Optional,2.84,71.0,6.0,3300,10600,10600,January 15,Institutional merit awards; need-based grants,Yes,2.75,Not required,151.0,153.0,76.0,6.5,7300.0,Rolling / January 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.abac.edu/
Academy College,Private University (For-Profit),Bloomington,MN,"Bloomington, MN",Unranked,Estimated (type-based),86.1,930.0,1075.0,1002.0,19.0,23.0,21.0,Not required,2.66,80.0,6.5,18700,18700,18700,Rolling admissions,Title IV federal aid eligible,Yes,2.75,Not required,147.0,149.0,85.0,7.0,16600.0,Rolling admissions,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.academycollege.edu/
Academy of Art University,Private University (For-Profit),San Francisco,CA,"San Francisco, CA",Unranked,Estimated (type-based),84.0,930.0,1045.0,987.0,19.0,22.0,20.0,Not required,2.62,80.0,6.5,30700,30700,30700,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,Yes,2.75,Not required,148.0,150.0,85.0,7.0,25500.0,Rolling admissions,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.academyart.edu/
Academy of Chinese Culture and Health Sciences,Private University (Nonprofit),Oakland,CA,"Oakland, CA",Unranked,Estimated (type-based),62.9,1100.0,1240.0,1160.0,24.0,27.0,26.0,Test-Optional,3.18,80.0,6.5,34200,34200,34200,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,153.0,156.0,85.0,7.0,27900.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.acchs.edu/
Academy of Cosmetology Inc,Private University (For-Profit),Bozeman,MT,"Bozeman, MT",Unranked,Estimated (type-based),87.6,970.0,1095.0,1032.0,20.0,23.0,22.0,Not required,2.71,80.0,6.5,19300,19300,19300,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.academycosmetology.com/
Academy of Hair Design-Grenada,Private University (For-Profit),Grenada,MS,"Grenada, MS",Unranked,Estimated (type-based),86.0,970.0,1115.0,1042.0,20.0,24.0,22.0,Not required,2.51,80.0,6.5,18500,18500,18500,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.academyofhair.com/grenada-campus
Academy of Hair Design-Las Vegas,Private University (For-Profit),Las Vegas,NV,"Las Vegas, NV",Unranked,Estimated (type-based),86.0,930.0,1060.0,995.0,19.0,23.0,21.0,Not required,2.45,80.0,6.5,18500,18500,18500,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.ahdvegas.com/
Academy of Salon and Spa,Private University (For-Profit),Fort Smith,AR,"Fort Smith, AR",Unranked,Estimated (type-based),83.0,970.0,1085.0,1027.0,20.0,23.0,22.0,Not required,2.49,80.0,6.5,17000,17000,17000,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.academysalonspa.com/
Adams State University,Public University,Alamosa,CO,"Alamosa, CO",Unranked,Estimated (type-based),78.8,1080.0,1210.0,1150.0,23.0,26.0,24.0,Test-Optional,3.25,79.0,6.5,9800,21900,21900,February 1,State and federal aid; merit scholarships available,Yes,2.75,Not required,151.0,153.0,84.0,7.0,17200.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.adams.edu/
