university_name,country,qs_rank,program_name,standardized_program_name,degree_type,program_level,program_category,program_duration_years,tuition_fee_usd,scholarship_available,min_ielts_overall,min_ielts_band,toefl_score,duolingo_score,min_gpa,gre_required,min_gre_score,work_experience_required,field_requirements
Imperial College London,UK,2,Master of Science in Cybersecurity,Cybersecurity,MSc,masters,cs,1.0,42000,No,6.5,7.0,100,120,3.7,1,320,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
Imperial College London,UK,2,Master of Science in Biomedical Engineering,Biomedical Engineering,MSc,masters,engineering,1.0,42000,Yes,6.5,7.0,100,120,3.7,1,320,0,Undergraduate degree in Engineering or related STEM field required
Imperial College London,UK,2,Master of Arts in Political Science,Political Science,MA,masters,social_science,1.0,41000,Yes,6.5,7.0,100,120,3.7,1,320,0,Relevant undergraduate degree required; research experience preferred
Imperial College London,UK,2,Master of Science in Computer Science,Computer Science,MSc,masters,cs,1.0,42000,No,6.5,7.0,100,120,3.7,1,320,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
Imperial College London,UK,2,Master of Science in Civil Engineering,Civil Engineering,MSc,masters,engineering,1.0,42000,Yes,6.5,7.0,100,120,3.7,1,320,0,Undergraduate degree in Engineering or related STEM field required
Imperial College London,UK,2,Master of Arts in International Relations,International Relations,MA,masters,social_science,1.0,41000,Yes,6.5,7.0,100,120,3.7,1,320,0,Relevant undergraduate degree required; research experience preferred
Imperial College London,UK,2,Master of Education,Education,MEd,masters,education,1.0,42000,Yes,6.5,7.0,100,120,3.7,1,320,0,Undergraduate degree required; teaching qualification or classroom experience required
Imperial College London,UK,2,Master of Science in Human Resource Management,Human Resource Management,MSc,masters,business,1.0,42000,No,6.5,7.0,100,120,3.7,1,320,0,Undergraduate degree in any discipline; work experience preferred
Imperial College London,UK,2,Master of Science in Clinical Psychology,Clinical Psychology,MSc,masters,health,1.0,42000,No,6.5,7.0,100,120,3.7,1,320,0,"Undergraduate degree in Health Sciences, Biology, or Nursing required"
Imperial College London,UK,2,Master of Science in Urban Planning,Urban Planning,MSc,masters,architecture,1.0,42000,Yes,6.5,7.0,100,120,3.7,1,320,0,Architecture or related design undergraduate degree required; portfolio required
University of Oxford,UK,4,Bachelor of Laws in International Law,International Law,LLB,bachelors,law,3.0,42000,Yes,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong analytical skills preferred
University of Oxford,UK,4,Bachelor of Arts in Philosophy,Philosophy,BA,bachelors,arts,3.0,35000,No,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong language and critical thinking skills preferred
University of Oxford,UK,4,Bachelor of Arts in English Literature,English Literature,BA,bachelors,arts,3.0,35000,No,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong language and critical thinking skills preferred
University of Oxford,UK,4,Bachelor of Arts in Political Science,Political Science,BA,bachelors,social_science,3.0,34500,No,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong analytical and writing skills preferred
University of Oxford,UK,4,Bachelor of Science in Medical Laboratory Science,Medical Laboratory Science,BSc,bachelors,health,3.0,42000,No,6.5,6.5,105,120,3.4,0,0,0,Strong background in Biology and Chemistry preferred
University of Oxford,UK,4,Bachelor of Nursing,Nursing,BN,bachelors,health,3.0,42000,No,6.5,6.5,105,120,3.4,0,0,0,Strong background in Biology and Chemistry preferred
University of Oxford,UK,4,Bachelor of Science in Biology,Biology,BSc,bachelors,science,3.0,38000,No,6.5,6.5,105,120,3.4,0,0,0,Strong foundation in Mathematics and Science subjects required
University of Oxford,UK,4,Bachelor of Engineering in Industrial Engineering,Industrial Engineering,BEng,bachelors,engineering,4.0,42000,Yes,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics and Physics required
University of Oxford,UK,4,Bachelor of Science in Chemical Engineering,Chemical Engineering,BSc,bachelors,engineering,3.0,42000,Yes,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics and Physics required
University of Oxford,UK,4,Bachelor of Commerce in Supply Chain Management,Supply Chain Management,BCom,bachelors,business,3.0,40500,No,6.5,6.5,105,120,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
University of Oxford,UK,4,Master of Arts in History,History,MA,masters,arts,1.0,40000,No,7.0,7.0,110,125,3.7,1,325,0,Relevant undergraduate degree in Humanities required
University of Oxford,UK,4,Master of Education,Education,MEd,masters,education,1.0,37500,Yes,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree required; teaching qualification or classroom experience required
University of Oxford,UK,4,Master of Science in Human-Computer Interaction,Human-Computer Interaction,MSc,masters,cs,1.0,39500,No,7.0,7.0,110,125,3.7,1,325,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Oxford,UK,4,Master of Science in Electrical Engineering,Electrical Engineering,MSc,masters,engineering,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in Engineering or related STEM field required
University of Oxford,UK,4,Master of Science in Environmental Science,Environmental Science,MSc,masters,science,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in relevant Science field required
University of Oxford,UK,4,Master of Arts in Psychology,Psychology,MA,masters,social_science,1.0,36000,No,7.0,7.0,110,125,3.7,1,325,0,Relevant undergraduate degree required; research experience preferred
University of Oxford,UK,4,Master of Laws,Law,LLM,masters,law,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,0,LLB or equivalent law degree required
University of Oxford,UK,4,Master of Science in Computer Science,Computer Science,MSc,masters,cs,1.0,39500,No,7.0,7.0,110,125,3.7,1,325,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Oxford,UK,4,Master of Science in Management,Management,MSc,masters,business,1.0,41500,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in any discipline; work experience preferred
University of Oxford,UK,4,Master of Science in Aerospace Engineering,Aerospace Engineering,MSc,masters,engineering,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in Engineering or related STEM field required
University of Oxford,UK,4,Master of Science in Chemistry,Chemistry,MSc,masters,science,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in relevant Science field required
University of Oxford,UK,4,Master of Science in Development Studies,Development Studies,MSc,masters,social_science,1.0,36000,No,7.0,7.0,110,125,3.7,1,325,0,Relevant undergraduate degree required; research experience preferred
University of Oxford,UK,4,Master of Laws in Human Rights Law,Human Rights Law,LLM,masters,law,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,0,LLB or equivalent law degree required
University of Oxford,UK,4,Master of Science in Cybersecurity,Cybersecurity,MSc,masters,cs,1.0,39500,No,7.0,7.0,110,125,3.7,1,325,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Oxford,UK,4,Master of Science in International Business,International Business,MSc,masters,business,1.0,41500,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in any discipline; work experience preferred
University of Oxford,UK,4,Master of Science in Structural Engineering,Structural Engineering,MSc,masters,engineering,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,0,Undergraduate degree in Engineering or related STEM field required
University of Oxford,UK,4,Master of Science in Pharmacy,Pharmacy,MSc,masters,health,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,0,"Undergraduate degree in Health Sciences, Biology, or Nursing required"
University of Oxford,UK,4,Master of Fine Arts,Fine Arts,MFA,masters,arts,1.0,40000,No,7.0,7.0,110,125,3.7,1,325,0,Relevant undergraduate degree in Humanities required
University of Oxford,UK,4,Master of Design in Interior Design,Interior Design,MDes,masters,architecture,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,0,Architecture or related design undergraduate degree required; portfolio required
University of Cambridge,UK,6,Bachelor of Science in Communication Studies,Communication Studies,BSc,bachelors,social_science,3.0,37000,No,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong analytical and writing skills preferred
University of Cambridge,UK,6,Bachelor of Engineering in Software Engineering,Software Engineering,BEng,bachelors,cs,4.0,42000,No,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
University of Cambridge,UK,6,Bachelor of Engineering in Industrial Engineering,Industrial Engineering,BEng,bachelors,engineering,4.0,41500,Yes,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics and Physics required
University of Cambridge,UK,6,Bachelor of Arts in English Literature,English Literature,BA,bachelors,arts,3.0,35500,Yes,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong language and critical thinking skills preferred
University of Cambridge,UK,6,Bachelor of Science in Information Technology,Information Technology,BSc,bachelors,cs,3.0,42000,No,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
University of Cambridge,UK,6,Bachelor of Science in Mathematics,Mathematics,BSc,bachelors,science,3.0,42000,Yes,6.5,6.5,105,120,3.4,0,0,0,Strong foundation in Mathematics and Science subjects required
University of Cambridge,UK,6,Bachelor of Fine Arts,Fine Arts,BFA,bachelors,arts,3.0,35500,Yes,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong language and critical thinking skills preferred
University of Cambridge,UK,6,Bachelor of Science in Cybersecurity,Cybersecurity,BSc,bachelors,cs,3.0,42000,No,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
University of Cambridge,UK,6,Bachelor of Science in Physics,Physics,BSc,bachelors,science,3.0,42000,Yes,6.5,6.5,105,120,3.4,0,0,0,Strong foundation in Mathematics and Science subjects required
University of Cambridge,UK,6,Bachelor of Arts in Media and Journalism,Media and Journalism,BA,bachelors,arts,3.0,35500,Yes,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong language and critical thinking skills preferred
University of Cambridge,UK,6,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,BSc,bachelors,cs,3.0,42000,No,6.5,6.5,105,120,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
University of Cambridge,UK,6,Bachelor of Science in Chemistry,Chemistry,BSc,bachelors,science,3.0,42000,Yes,6.5,6.5,105,120,3.4,0,0,0,Strong foundation in Mathematics and Science subjects required
University of Cambridge,UK,6,Bachelor of Arts in History,History,BA,bachelors,arts,3.0,35500,Yes,6.5,6.5,105,120,3.4,0,0,0,No specific background required; strong language and critical thinking skills preferred
University of Cambridge,UK,6,Master of Science in Computer Science,Computer Science,MSc,masters,cs,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Cambridge,UK,6,Master of Science in Accounting,Accounting,MSc,masters,business,1.0,41500,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in any discipline; work experience preferred
University of Cambridge,UK,6,Master of Science in Robotics,Robotics,MSc,masters,engineering,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in Engineering or related STEM field required
University of Cambridge,UK,6,Master of Science in Global Health,Global Health,MSc,masters,health,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,"Undergraduate degree in Health Sciences, Biology, or Nursing required"
University of Cambridge,UK,6,Master of Laws,Law,LLM,masters,law,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,LLB or equivalent law degree required
University of Cambridge,UK,6,Master of Science in Data Science,Data Science,MSc,masters,cs,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Cambridge,UK,6,Master of Science in Supply Chain Management,Supply Chain Management,MSc,masters,business,1.0,41500,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in any discipline; work experience preferred
University of Cambridge,UK,6,Master of Science in Physics,Physics,MSc,masters,science,1.0,38000,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in relevant Science field required
University of Cambridge,UK,6,Master of Arts in Psychology,Psychology,MA,masters,social_science,1.0,37500,No,7.0,7.0,110,125,3.7,1,325,1,Relevant undergraduate degree required; research experience preferred
University of Cambridge,UK,6,Master of Laws in Corporate Law,Corporate Law,LLM,masters,law,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,LLB or equivalent law degree required
University of Cambridge,UK,6,Master of Science in Machine Learning,Machine Learning,MSc,masters,cs,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Cambridge,UK,6,Master of Science in Human Resource Management,Human Resource Management,MSc,masters,business,1.0,41500,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in any discipline; work experience preferred
University of Cambridge,UK,6,Master of Science in Environmental Science,Environmental Science,MSc,masters,science,1.0,38000,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in relevant Science field required
University of Cambridge,UK,6,Master of Arts in Political Science,Political Science,MA,masters,social_science,1.0,37500,No,7.0,7.0,110,125,3.7,1,325,1,Relevant undergraduate degree required; research experience preferred
University of Cambridge,UK,6,Master of Architecture,Architecture,MArch,masters,architecture,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,1,Architecture or related design undergraduate degree required; portfolio required
University of Cambridge,UK,6,Master of Science in Information Systems,Information Systems,MSc,masters,cs,1.0,42000,No,7.0,7.0,110,125,3.7,1,325,1,"Undergraduate degree in CS, Engineering, or Mathematics required"
University of Cambridge,UK,6,Master of Science in Electrical Engineering,Electrical Engineering,MSc,masters,engineering,1.0,42000,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in Engineering or related STEM field required
University of Cambridge,UK,6,Master of Science in Biotechnology,Biotechnology,MSc,masters,science,1.0,38000,Yes,7.0,7.0,110,125,3.7,1,325,1,Undergraduate degree in relevant Science field required
University of Cambridge,UK,6,Master of Arts in Media and Communication,Media and Communication,MA,masters,social_science,1.0,37500,No,7.0,7.0,110,125,3.7,1,325,1,Relevant undergraduate degree required; research experience preferred
UCL (University College London),UK,9,Bachelor of Pharmacy,Pharmacy,BPharm,bachelors,health,4.0,36000,Yes,6.0,6.5,91,115,3.3,0,0,0,Strong background in Biology and Chemistry preferred
UCL (University College London),UK,9,Bachelor of Science in Educational Technology,Educational Technology,BSc,bachelors,education,3.0,29500,No,6.0,6.5,91,115,3.3,0,0,0,No specific background required; passion for teaching preferred
UCL (University College London),UK,9,Bachelor of Science in Biology,Biology,BSc,bachelors,science,3.0,36500,No,6.0,6.5,91,115,3.3,0,0,0,Strong foundation in Mathematics and Science subjects required
UCL (University College London),UK,9,Bachelor of Science in Urban Planning,Urban Planning,BSc,bachelors,architecture,3.0,36500,No,6.0,6.5,91,115,3.3,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
UCL (University College London),UK,9,Bachelor of Engineering in Environmental Engineering,Environmental Engineering,BEng,bachelors,engineering,4.0,36500,No,6.0,6.5,91,115,3.3,0,0,0,Strong background in Mathematics and Physics required
UCL (University College London),UK,9,Bachelor of Arts in Music,Music,BA,bachelors,arts,3.0,30500,Yes,6.0,6.5,91,115,3.3,0,0,0,No specific background required; strong language and critical thinking skills preferred
UCL (University College London),UK,9,Bachelor of Science in Electrical Engineering,Electrical Engineering,BSc,bachelors,engineering,3.0,36500,No,6.0,6.5,91,115,3.3,0,0,0,Strong background in Mathematics and Physics required
UCL (University College London),UK,9,Bachelor of Fine Arts,Fine Arts,BFA,bachelors,arts,3.0,30500,Yes,6.0,6.5,91,115,3.3,0,0,0,No specific background required; strong language and critical thinking skills preferred
UCL (University College London),UK,9,Bachelor of Science in Marketing,Marketing,BSc,bachelors,business,3.0,37000,No,6.0,6.5,91,115,3.3,0,0,0,No specific background required; Mathematics proficiency preferred
UCL (University College London),UK,9,Bachelor of Arts in Political Science,Political Science,BA,bachelors,social_science,3.0,29500,No,6.0,6.5,91,115,3.3,0,0,0,No specific background required; strong analytical and writing skills preferred
UCL (University College London),UK,9,Bachelor of Science in Computer Networks,Computer Networks,BSc,bachelors,cs,3.0,37000,No,6.0,6.5,91,115,3.3,0,0,0,Strong background in Mathematics; basic programming skills preferred
UCL (University College London),UK,9,Master of Science in Physics,Physics,MSc,masters,science,1.0,36500,No,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree in relevant Science field required
UCL (University College London),UK,9,Master of Arts in Media and Communication,Media and Communication,MA,masters,social_science,1.0,32500,Yes,6.5,7.0,96,120,3.6,1,315,0,Relevant undergraduate degree required; research experience preferred
UCL (University College London),UK,9,Master of Science in Educational Technology,Educational Technology,MSc,masters,education,1.0,32000,Yes,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree required; teaching qualification or classroom experience required
UCL (University College London),UK,9,Master of Science in Entrepreneurship,Entrepreneurship,MSc,masters,business,1.0,42000,Yes,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree in any discipline; work experience preferred
UCL (University College London),UK,9,Master of Science in Chemistry,Chemistry,MSc,masters,science,1.0,36500,No,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree in relevant Science field required
UCL (University College London),UK,9,Master of Arts in Philosophy,Philosophy,MA,masters,arts,1.0,39500,Yes,6.5,7.0,96,120,3.6,1,315,0,Relevant undergraduate degree in Humanities required
UCL (University College London),UK,9,Master of Science in Machine Learning,Machine Learning,MSc,masters,cs,1.0,36000,No,6.5,7.0,96,120,3.6,1,315,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
UCL (University College London),UK,9,Master of Science in Chemical Engineering,Chemical Engineering,MSc,masters,engineering,1.0,37500,No,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree in Engineering or related STEM field required
UCL (University College London),UK,9,Master of Science in Nutrition,Nutrition,MSc,masters,health,1.0,38500,Yes,6.5,7.0,96,120,3.6,1,315,0,"Undergraduate degree in Health Sciences, Biology, or Nursing required"
UCL (University College London),UK,9,Master of Laws in Human Rights Law,Human Rights Law,LLM,masters,law,1.0,42000,No,6.5,7.0,96,120,3.6,1,315,0,LLB or equivalent law degree required
UCL (University College London),UK,9,Master of Business Administration,Business Administration,MBA,masters,business,1.0,42000,Yes,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree in any discipline; work experience preferred
UCL (University College London),UK,9,Master of Science in Robotics,Robotics,MSc,masters,engineering,1.0,37500,No,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree in Engineering or related STEM field required
UCL (University College London),UK,9,Master of Arts in Political Science,Political Science,MA,masters,social_science,1.0,32500,Yes,6.5,7.0,96,120,3.6,1,315,0,Relevant undergraduate degree required; research experience preferred
UCL (University College London),UK,9,Master of Education,Education,MEd,masters,education,1.0,32000,Yes,6.5,7.0,96,120,3.6,1,315,0,Undergraduate degree required; teaching qualification or classroom experience required
The University of Melbourne,Australia,19,Bachelor of Science in Human Resource Management,Human Resource Management,BSc,bachelors,business,3.0,36000,No,6.0,6.5,74,100,3.2,0,0,0,No specific background required; Mathematics proficiency preferred
The University of Melbourne,Australia,19,Bachelor of Science in Marketing,Marketing,BSc,bachelors,business,3.0,36000,No,6.0,6.5,74,100,3.2,0,0,0,No specific background required; Mathematics proficiency preferred
The University of Melbourne,Australia,19,Bachelor of Science in Finance,Finance,BSc,bachelors,business,3.0,36000,No,6.0,6.5,74,100,3.2,0,0,0,No specific background required; Mathematics proficiency preferred
The University of Melbourne,Australia,19,Bachelor of Commerce in Accounting,Accounting,BCom,bachelors,business,3.0,36000,No,6.0,6.5,74,100,3.2,0,0,0,No specific background required; Mathematics proficiency preferred
The University of Melbourne,Australia,19,Bachelor of Science in Economics,Economics,BSc,bachelors,business,3.0,36000,No,6.0,6.5,74,100,3.2,0,0,0,No specific background required; Mathematics proficiency preferred
The University of Melbourne,Australia,19,Bachelor of Business Administration,Business Administration,BBA,bachelors,business,3.0,36000,No,6.0,6.5,74,100,3.2,0,0,0,No specific background required; Mathematics proficiency preferred
The University of Melbourne,Australia,19,Bachelor of Science in Computer Networks,Computer Networks,BSc,bachelors,cs,3.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,BSc,bachelors,cs,3.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Science in Cybersecurity,Cybersecurity,BSc,bachelors,cs,3.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Science in Information Technology,Information Technology,BSc,bachelors,cs,3.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Engineering in Software Engineering,Software Engineering,BEng,bachelors,cs,4.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Science in Data Science,Data Science,BSc,bachelors,cs,3.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Science in Computer Science,Computer Science,BSc,bachelors,cs,3.0,34000,No,6.0,6.5,74,100,3.2,0,0,0,Strong background in Mathematics; basic programming skills preferred
The University of Melbourne,Australia,19,Bachelor of Science in Educational Technology,Educational Technology,BSc,bachelors,education,3.0,29500,Yes,6.0,6.5,74,100,3.2,0,0,0,No specific background required; passion for teaching preferred
The University of Melbourne,Australia,19,Bachelor of Arts in Early Childhood Education,Early Childhood Education,BA,bachelors,education,3.0,29500,Yes,6.0,6.5,74,100,3.2,0,0,0,No specific background required; passion for teaching preferred
The University of Melbourne,Australia,19,Bachelor of Education,Education,BEd,bachelors,education,4.0,29500,Yes,6.0,6.5,74,100,3.2,0,0,0,No specific background required; passion for teaching preferred
The University of Melbourne,Australia,19,Bachelor of Design in Industrial Design,Industrial Design,BDes,bachelors,architecture,4.0,36500,Yes,6.0,6.5,74,100,3.2,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
The University of Melbourne,Australia,19,Bachelor of Design in Interior Design,Interior Design,BDes,bachelors,architecture,4.0,36500,Yes,6.0,6.5,74,100,3.2,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
The University of Melbourne,Australia,19,Bachelor of Science in Urban Planning,Urban Planning,BSc,bachelors,architecture,3.0,36500,Yes,6.0,6.5,74,100,3.2,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
The University of Melbourne,Australia,19,Bachelor of Architecture,Architecture,BArch,bachelors,architecture,5.0,36500,Yes,6.0,6.5,74,100,3.2,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
The University of Melbourne,Australia,19,Master of Science in Cloud Computing,Cloud Computing,MSc,masters,cs,1.5,40000,Yes,6.5,7.0,79,105,3.5,1,308,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
The University of Melbourne,Australia,19,Master of Science in Urban Planning,Urban Planning,MSc,masters,architecture,1.5,35000,Yes,6.5,7.0,79,105,3.5,1,308,0,Architecture or related design undergraduate degree required; portfolio required
The University of Melbourne,Australia,19,Master of Science in Development Studies,Development Studies,MSc,masters,social_science,1.5,33000,Yes,6.5,7.0,79,105,3.5,1,308,0,Relevant undergraduate degree required; research experience preferred
