University,City,State,Location,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL,GPA_Min
Albany Technical College,Albany,GA,"Albany, GA",840,980,910,17,21,19,5900,Public Community College,Rolling,3.17,61,5.5,1,4767-11624,16,http://albanytech.edu/,0
Albertus Magnus College,New Haven,CT,"New Haven, CT",1160,1300,1220,25,29,27,41900,Private University,1-Jan,3.4,80,6.5,1,8333-17131,34,http://albertus.edu/,3
Albion College,Albion,MI,"Albion, MI",1060,1200,1140,23,26,24,57000,Private University,1-Feb,3.14,80,6.5,1,5758-11741,31,http://albion.edu/,2.75
Albizu University-Miami,Miami,FL,"Miami, FL",1070,1220,1150,23,27,25,13800,Private University,1-Feb,3.23,80,6.5,1,1104-2112,22,https://www.albizu.edu/,2.75
Alcorn State University,Alcorn State,MS,"Alcorn State, MS",870,1010,940,18,21,20,8800,Public University,1-Mar,2.61,79,6.5,1,4401-7646,17,http://alcorn.edu/,2.75
Alexandria Technical & Community College,Alexandria,MN,"Alexandria, MN",850,970,910,17,20,18,6200,Public Community College,Rolling,3.17,61,5.5,1,1527-2989,11,http://alextech.edu/,0
Alfred University,Alfred,NY,"Alfred, NY",1100,1310,1200,24,29,26,41500,Private University,15-Jan,3.27,80,6.5,1,4262-9984,20,http://alfred.edu/,3
Alice Lloyd College,Pippa Passes,KY,"Pippa Passes, KY",880,1040,960,18,22,20,14000,Private University,15-Jan,2.51,74,6,1,1104-2112,22,https://www.alc.edu/,2.75
Allan Hancock College,Santa Maria,CA,"Santa Maria, CA",830,975,902,17,20,18,9900,Public Community College,Rolling,3.17,61,5.5,1,5167-14532,32,http://hancockcollege.edu/,0
Allegany College of Maryland,Cumberland,MD,"Cumberland, MD",835,975,905,17,20,18,12600,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.allegany.edu/,0
Allen College,Waterloo,IA,"Waterloo, IA",1100,1240,1170,24,27,26,37900,Private University,1-Jan,3.28,80,6.5,1,1104-2112,22,https://www.allencollege.edu/,2.75
Allen County Community College,Iola,KS,"Iola, KS",840,995,917,17,21,19,4900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.allencc.edu/,0
Allen School-Brooklyn,Brooklyn,NY,"Brooklyn, NY",930,1035,982,19,22,20,19400,Private University,Rolling,2.61,80,6.5,1,1104-2112,22,https://www.allenschool.edu/,0
Alliant International University-San Diego,San Diego,CA,"San Diego, CA",930,1070,1000,19,23,21,14300,Private University,Rolling,2.46,80,6.5,1,1104-2112,22,https://www.alliant.edu/,2.75
Alma College,Alma,MI,"Alma, MI",1140,1270,1200,25,28,26,49600,Private University,1-Feb,3.3,80,6.5,1,8441-20427,29,http://alma.edu/,3
Alpena Community College,Alpena,MI,"Alpena, MI",1040,1210,1130,22,26,24,8000,Public University,Rolling,3.12,79,6.5,1,1573-2352,15,http://alpenacc.edu/,2.75
American Academy McAllister Institute of Funeral Service,New York,NY,"New York, NY",860,975,917,18,20,19,20000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.funeraleducation.org/,0
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,"Los Angeles, CA",845,995,920,17,21,19,40600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.aada.edu/,0
American Academy of Dramatic Arts-New York,New York,NY,"New York, NY",840,990,915,17,21,19,40600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.aada.edu/,0
American Beauty College,West Covina,CA,"West Covina, CA",965,1110,1037,20,24,22,18800,Private University,Rolling,2.62,80,6.5,1,1104-2112,22,https://www.americanbeautycollege.edu/,0
American Beauty School,Bronx,NY,"Bronx, NY",945,1075,1010,20,23,22,18900,Private University,Rolling,2.6,80,6.5,1,1104-2112,22,https://www.americanbeautyschool.edu/,0
American Career College-Los Angeles,Los Angeles,CA,"Los Angeles, CA",835,960,897,17,20,18,9900,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://americancareercollege.edu/,0
American Film Institute Conservatory,Los Angeles,CA,"Los Angeles, CA",1090,1220,1160,23,27,25,34400,Private University,1-Jan,3.19,80,6.5,1,1104-2112,22,https://www.afi.com/,2.75
American Hair Academy,Mt. Pleasant,IA,"Mt. Pleasant, IA",970,1075,1022,20,23,22,16800,Private University,Rolling,2.61,80,6.5,1,1104-2112,22,https://americanhairacademy.com/,0
American Institute-Clifton,CLIFTON,NJ,"CLIFTON, NJ",825,965,895,17,20,18,10500,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.americaninstitute.edu/,0
American Institute-West Hartford,West Hartford,CT,"West Hartford, CT",845,965,905,17,20,18,9800,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://americaninstitute.edu/,0
American International College,Springfield,MA,"Springfield, MA",1000,1130,1060,21,24,22,44200,Private University,15-Jan,3.03,80,6.5,1,1104-2112,22,https://www.aic.edu/,2.75
American Islamic College,Chicago,IL,"Chicago, IL",980,1110,1040,21,24,22,7600,Private University,1-Jan,2.95,80,6.5,1,1104-2112,22,https://aicusa.edu/,2.75
American Jewish University,Los Angeles,CA,"Los Angeles, CA",1070,1230,1160,23,27,25,33700,Private University,1-Feb,3.17,80,6.5,1,1104-2112,22,https://www.aju.edu/,2.75
American Musical and Dramatic Academy,New York,NY,"New York, NY",1250,1400,1330,27,31,29,46900,Private University,15-Jan,3.59,80,6.5,1,1104-2112,22,https://www.amda.edu/,3.5
American National University-Pikeville,Pikeville,KY,"Pikeville, KY",955,1100,1027,20,24,22,12500,Private University,Rolling,2.71,80,6.5,1,1104-2112,22,https://www.an.edu/locations/,2.75
American River College,Sacramento,CA,"Sacramento, CA",815,970,892,16,20,18,12600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.arc.losrios.edu/,0
American University,Washington,DC,"Washington, DC",1280,1460,1370,29,32,30,58800,Private University,1-Jan,3.7,90,7,1,4169-10915,16,http://american.edu/,3.3
Amherst College,Amherst,MA,"Amherst, MA",1490,1580,1540,33,35,34,70500,Private University,1-Jan,4.01,100,7,1,7880-15594,32,http://amherst.edu/,3.5
Amridge University,Montgomery,AL,"Montgomery, AL",1080,1220,1160,23,27,25,7600,Private University,1-Jan,3.16,80,6.5,1,1104-2112,22,https://www.amridgeuniversity.edu/,2.75
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,"Elkhart, IN",1090,1240,1170,23,27,25,36100,Private University,1-Jan,3.24,80,6.5,1,2775-7369,17,http://ambs.edu/,2.75
Anderson University,Anderson,IN,"Anderson, IN",900,1150,1020,17,24,20,37200,Private University,1-Jan,2.91,71,6,1,2793-5823,18,http://anderson.edu/,2.75
Andrew College,Cuthbert,GA,"Cuthbert, GA",1150,1290,1230,25,28,26,19600,Private University,1-Jan,3.33,80,6.5,1,1104-2112,22,https://www.andrewcollege.edu/,3
Andrews University,Berrien Springs,MI,"Berrien Springs, MI",990,1290,1140,20,26,23,35100,Private University,15-Jan,3.15,79,6.5,1,2439-9370,17,http://andrews.edu/,2.75
Anna Maria College,Paxton,MA,"Paxton, MA",1110,1270,1200,24,28,26,44600,Private University,1-Feb,3.25,80,6.5,1,1104-2112,22,https://www.annamaria.edu/,3
Anne Arundel Community College,Arnold,MD,"Arnold, MD",815,920,867,16,19,18,11500,Public Community College,Rolling,3.17,61,5.5,1,1346-2771,12,http://aacc.edu/,0
Anoka Technical College,Anoka,MN,"Anoka, MN",830,975,902,17,20,18,6300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.anokatech.edu/,0
Anoka-Ramsey Community College,Coon Rapids,MN,"Coon Rapids, MN",810,935,872,16,19,18,5700,Public Community College,Rolling,3.17,61,5.5,1,1734-2348,15,http://anokaramsey.edu/,0
Antelope Valley Community College District,Lancaster,CA,"Lancaster, CA",1090,1230,1150,23,27,25,9500,Public University,1-Feb,3.25,79,6.5,1,1104-2112,22,https://www.avc.edu/,2.75
Apex Technical School,Long Island City,NY,"Long Island City, NY",1090,1250,1160,23,27,25,33500,Private University,15-Jan,3.17,80,6.5,1,1104-2112,22,https://www.apexschool.com/,0
Aquinas College,Grand Rapids,MI,"Grand Rapids, MI",910,1140,1020,20,26,23,40200,Private University,1-Jan,2.98,71,6,1,6607-16362,28,http://aquinas.edu/,2.75
Aquinas Institute of Theology,Saint Louis,MO,"Saint Louis, MO",1090,1250,1170,23,27,25,37300,Private University,15-Jan,3.27,80,6.5,1,2981-5199,21,http://ai.edu/,2.75
Arapahoe Community College,Littleton,CO,"Littleton, CO",1060,1240,1150,23,27,25,17000,Public University,1-Mar,3.22,79,6.5,1,1517-2249,15,http://arapahoe.edu/,2.75
Arizona Academy of Beauty,Tucson,AZ,"Tucson, AZ",940,1075,1007,20,23,22,19200,Private University,Rolling,2.64,80,6.5,1,1104-2112,22,https://www.arizonaacademy.com/,0
Arizona Christian University,Glendale,AZ,"Glendale, AZ",1110,1260,1180,24,28,26,35100,Private University,15-Jan,3.31,80,6.5,1,1104-2112,22,https://arizonachristian.edu/,2.75
Arizona State University Campus Immersion,Tempe,AZ,"Tempe, AZ",1020,1170,1090,22,25,24,33100,Public University,30-Nov,3.08,79,6.5,1,1104-2112,22,https://www.asu.edu/,2.75
Arizona Western College,Yuma,AZ,"Yuma, AZ",860,1015,937,18,21,20,9900,Public Community College,Rolling,3.17,61,5.5,1,5893-11710,26,http://azwestern.edu/,0
Arkansas Baptist College,Little Rock,AR,"Little Rock, AR",1110,1230,1170,24,27,26,8800,Private University,15-Jan,3.27,80,6.5,1,1104-2112,22,https://www.arkansasbaptist.edu/,2.75
Arkansas Beauty College,Russellville,AR,"Russellville, AR",975,1095,1035,20,23,22,19200,Private University,Rolling,2.74,80,6.5,1,1104-2112,22,https://www.arkansasbeautycollege.us/,0
Arkansas Beauty School-Little Rock,Little Rock,AR,"Little Rock, AR",940,1055,997,20,22,21,19300,Private University,Rolling,2.55,80,6.5,1,1104-2112,22,https://arbs.edu/,0
Arkansas Northeastern College,Blytheville,AR,"Blytheville, AR",815,960,887,16,20,18,4200,Public Community College,Rolling,3.17,61,5.5,1,8893-19022,27,http://anc.edu/,0
Arkansas State University,Jonesboro,AR,"Jonesboro, AR",970,1190,1080,18,24,21,14500,Public University,15-Jan,3.02,79,6.5,1,4985-7749,17,http://astate.edu/,2.75
Arkansas State University Mid-South,West Memphis,AR,"West Memphis, AR",850,985,917,17,21,19,4800,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.asumidsouth.edu/,0
Arkansas State University Three Rivers,Malvern,AR,"Malvern, AR",850,990,920,17,21,19,4400,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.asutr.edu/,0
Arkansas State University-Beebe,Beebe,AR,"Beebe, AR",835,970,902,17,20,18,5200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.asub.edu/,0
Arkansas Tech University,Russellville,AR,"Russellville, AR",880,1100,990,17,23,20,14700,Public University,Rolling,2.85,71,6,1,4146-9928,22,http://atu.edu/,2.75
Arkansas Technical School,North Little Rock,AR,"North Little Rock, AR",940,1040,990,20,22,21,17000,Private University,Rolling,2.61,80,6.5,1,1104-2112,22,https://www.arktech.edu/,0
Arnot Ogden Medical Center,Elmira,NY,"Elmira, NY",850,990,920,17,21,19,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.arnothealth.org/,0
Art Center College of Design,Pasadena,CA,"Pasadena, CA",1080,1230,1160,23,27,25,54200,Private University,1-Jan,3.18,80,6.5,1,5407-14548,40,http://artcenter.edu/,2.75
Arthur's Beauty College,Jacksonville,AR,"Jacksonville, AR",945,1080,1012,20,23,22,18200,Private University,Rolling,2.52,80,6.5,1,1104-2112,22,https://arthursbeautycollege.com/,0
Asbury Theological Seminary,Wilmore,KY,"Wilmore, KY",1090,1240,1170,23,27,25,36700,Private University,1-Jan,3.25,80,6.5,1,1104-2112,22,https://www.asburyseminary.edu/,2.75
Asbury University,Wilmore,KY,"Wilmore, KY",1110,1260,1170,24,28,26,33600,Private University,1-Jan,3.23,80,6.5,1,2177-4261,17,http://asbury.edu/,2.75
Ashford University,San Diego,CA,"San Diego, CA",955,1065,1010,20,23,22,12000,Private University,Rolling,2.62,80,6.5,1,3376-6196,22,http://ashford.edu/,2.75
Ashland Community and Technical College,Ashland,KY,"Ashland, KY",845,960,902,17,20,18,6400,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://ashland.kctcs.edu/,0
Assabet Valley Regional Technical School,Marlborough,MA,"Marlborough, MA",1000,1160,1070,21,25,23,20500,Public University,Rolling,2.98,79,6.5,1,1104-2112,22,https://www.assabet.org/,0
Associated Beth Rivkah Schools,Brooklyn,NY,"Brooklyn, NY",1050,1180,1110,22,26,24,11200,Private University,1-Feb,3.13,80,6.5,1,1104-2112,22,https://www.bethrivkah.edu/dhl,2.75
Associated Technical College-Los Angeles,Los Angeles,CA,"Los Angeles, CA",975,1115,1045,20,24,22,18500,Private University,Rolling,2.7,80,6.5,1,1104-2112,22,https://www.atcla.edu/,0
Assumption College for Sisters,Denville,NJ,"Denville, NJ",850,960,905,17,20,18,6000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.acs350.org/,0
Assumption University,Worcester,MA,"Worcester, MA",1050,1190,1120,22,26,24,51400,Private University,1-Jan,3.09,80,6.5,1,1104-2112,22,https://www.assumption.edu/,2.75
Athens State University,Athens,AL,"Athens, AL",1070,1240,1150,23,27,25,23100,Public University,1-Feb,3.24,79,6.5,1,2889-6159,17,http://athens.edu/,2.75
Atlanta Metropolitan State College,Atlanta,GA,"Atlanta, GA",1080,1220,1150,23,27,25,10400,Public University,1-Feb,3.24,79,6.5,1,3204-8443,18,http://atlm.edu/,2.75
Atlanta Technical College,Atlanta,GA,"Atlanta, GA",855,965,910,17,20,18,6000,Public Community College,1-Aug,3.17,61,5.5,1,4547-8318,25,http://atlantatech.edu/,0
Atlanta's John Marshall Law School,Atlanta,GA,"Atlanta, GA",1090,1230,1160,23,27,25,34900,Private University,1-Jan,3.2,80,6.5,1,1104-2112,22,https://www.johnmarshall.edu/,2.75
Atlantic Cape Community College,Mays Landing,NJ,"Mays Landing, NJ",810,925,867,16,19,18,9100,Public Community College,Rolling,3.17,61,5.5,1,1788-2649,13,http://atlantic.edu/,0
